Current Generation |Worst Fitness  |Mean Fitness  |Best Fitness   |Lowest Bin Count
1                  |0.002943       |0.003040      |0.007804       |894              
2                  |0.002943       |0.003155      |0.008681       |888              
3                  |0.002943       |0.003265      |0.008681       |888              
4                  |0.002943       |0.003364      |0.008681       |888              
5                  |0.002943       |0.003467      |0.008681       |888              
6                  |0.002943       |0.003577      |0.008681       |888              
7                  |0.002943       |0.003670      |0.008681       |888              
8                  |0.002943       |0.003785      |0.008726       |894              
9                  |0.002943       |0.003898      |0.008726       |894              
10                 |0.002943       |0.004025      |0.009286       |892              
11                 |0.002943       |0.004135      |0.009286       |892              
12                 |0.002943       |0.004273      |0.009809       |882              
13                 |0.002943       |0.004385      |0.009809       |882              
14                 |0.002943       |0.004511      |0.009809       |882              
15                 |0.002943       |0.004605      |0.009809       |882              
16                 |0.002943       |0.004799      |0.012853       |826              
17                 |0.002943       |0.004918      |0.012853       |826              
18                 |0.002943       |0.005029      |0.012853       |826              
19                 |0.002943       |0.005141      |0.012853       |826              
20                 |0.002943       |0.005279      |0.012853       |826              
21                 |0.002943       |0.005390      |0.012853       |826              
22                 |0.002943       |0.005524      |0.012853       |826              
23                 |0.002943       |0.005617      |0.012853       |826              
24                 |0.002943       |0.005716      |0.012853       |826              
25                 |0.002943       |0.005826      |0.012853       |826              
26                 |0.002943       |0.005935      |0.012853       |826              
27                 |0.002943       |0.006036      |0.012853       |826              
28                 |0.002943       |0.006144      |0.012853       |826              
29                 |0.002943       |0.006254      |0.012853       |826              
30                 |0.002943       |0.006364      |0.012853       |826              
31                 |0.002943       |0.006471      |0.012853       |826              
32                 |0.002943       |0.006581      |0.012853       |826              
33                 |0.002943       |0.006664      |0.012853       |826              
34                 |0.002943       |0.006837      |0.012853       |826              
35                 |0.002943       |0.006947      |0.012853       |826              
36                 |0.002943       |0.007044      |0.012853       |826              
37                 |0.002943       |0.007171      |0.012853       |826              
38                 |0.002943       |0.007261      |0.012853       |826              
39                 |0.002943       |0.007376      |0.012853       |826              
40                 |0.002943       |0.007590      |0.012853       |826              
41                 |0.002943       |0.007841      |0.014408       |803              
42                 |0.002943       |0.007944      |0.014408       |803              
43                 |0.002943       |0.008060      |0.014408       |803              
44                 |0.002943       |0.008168      |0.014408       |803              
45                 |0.002943       |0.008402      |0.014408       |803              
46                 |0.002943       |0.008631      |0.014408       |803              
47                 |0.002943       |0.008865      |0.014408       |803              
48                 |0.002943       |0.009123      |0.014642       |812              
49                 |0.002943       |0.009364      |0.014642       |812              
50                 |0.002943       |0.009621      |0.015332       |805              
51                 |0.002943       |0.009670      |0.015332       |805              
52                 |0.002943       |0.009737      |0.015332       |805              
53                 |0.002943       |0.009901      |0.015332       |805              
54                 |0.002943       |0.010144      |0.015332       |805              
55                 |0.002943       |0.010387      |0.015332       |805              
56                 |0.002943       |0.010631      |0.015332       |805              
57                 |0.002943       |0.010854      |0.015332       |805              
58                 |0.002943       |0.011070      |0.015332       |805              
59                 |0.002943       |0.011272      |0.015332       |805              
60                 |0.007804       |0.011476      |0.015332       |805              
61                 |0.007845       |0.011621      |0.015332       |805              
62                 |0.007997       |0.011819      |0.015403       |793              
63                 |0.008304       |0.011989      |0.015403       |793              
64                 |0.008321       |0.012275      |0.018855       |754              
