Current Generation |Worst Fitness  |Mean Fitness  |Best Fitness   |Lowest Bin Count
1                  |0.002943       |0.003066      |0.009090       |897              
2                  |0.002943       |0.003155      |0.009090       |897              
3                  |0.002943       |0.003264      |0.009090       |897              
4                  |0.002943       |0.003385      |0.009090       |897              
5                  |0.002943       |0.003485      |0.009090       |897              
6                  |0.002943       |0.003607      |0.009090       |897              
7                  |0.002943       |0.003703      |0.009090       |897              
8                  |0.002943       |0.003792      |0.009090       |897              
9                  |0.002943       |0.003898      |0.009090       |897              
10                 |0.002943       |0.004007      |0.009090       |897              
11                 |0.002943       |0.004099      |0.009090       |897              
12                 |0.002943       |0.004192      |0.009090       |897              
13                 |0.002943       |0.004279      |0.009090       |897              
14                 |0.002943       |0.004403      |0.009119       |895              
15                 |0.002943       |0.004515      |0.009119       |895              
16                 |0.002943       |0.004627      |0.009119       |895              
17                 |0.002943       |0.004757      |0.009456       |890              
18                 |0.002943       |0.004848      |0.009456       |890              
19                 |0.002943       |0.004957      |0.009456       |890              
20                 |0.002943       |0.005087      |0.009456       |890              
21                 |0.002943       |0.005167      |0.009456       |890              
22                 |0.002943       |0.005267      |0.009456       |890              
23                 |0.002943       |0.005357      |0.009456       |890              
24                 |0.002943       |0.005462      |0.009456       |890              
25                 |0.002943       |0.005586      |0.009456       |890              
26                 |0.002943       |0.005685      |0.009456       |890              
27                 |0.002943       |0.005797      |0.009456       |890              
28                 |0.002943       |0.005896      |0.009456       |890              
29                 |0.002943       |0.005983      |0.009456       |890              
30                 |0.002943       |0.006106      |0.009456       |890              
31                 |0.002943       |0.006235      |0.009456       |890              
32                 |0.002943       |0.006356      |0.009456       |890              
33                 |0.002943       |0.006454      |0.009456       |890              
34                 |0.002943       |0.006561      |0.009456       |890              
35                 |0.002943       |0.006658      |0.009456       |890              
36                 |0.002943       |0.006756      |0.009456       |890              
37                 |0.002943       |0.006864      |0.009456       |890              
38                 |0.002943       |0.007116      |0.014433       |815              
39                 |0.002943       |0.007229      |0.014433       |815              
40                 |0.002943       |0.007348      |0.014433       |815              
41                 |0.002943       |0.007463      |0.014433       |815              
42                 |0.002943       |0.007694      |0.014433       |815              
43                 |0.002943       |0.007925      |0.014433       |815              
44                 |0.002943       |0.007974      |0.014433       |815              
45                 |0.002943       |0.008215      |0.014433       |815              
46                 |0.002943       |0.008431      |0.014433       |815              
47                 |0.002943       |0.008549      |0.014433       |815              
48                 |0.002943       |0.008764      |0.014433       |815              
49                 |0.002943       |0.009001      |0.014433       |815              
50                 |0.002943       |0.009252      |0.014620       |815              
51                 |0.002943       |0.009434      |0.014620       |815              
52                 |0.002943       |0.009662      |0.014620       |815              
53                 |0.002943       |0.009881      |0.014620       |815              
54                 |0.002943       |0.010137      |0.015041       |801              
55                 |0.002943       |0.010340      |0.015041       |801              
56                 |0.002943       |0.010573      |0.015041       |801              
57                 |0.002943       |0.010811      |0.015041       |801              
58                 |0.002943       |0.011037      |0.015041       |801              
59                 |0.007266       |0.011265      |0.015041       |801              
60                 |0.007266       |0.011456      |0.015041       |801              
61                 |0.007745       |0.011710      |0.016585       |788              
62                 |0.007745       |0.011906      |0.016585       |788              
63                 |0.007829       |0.012073      |0.016585       |788              
64                 |0.007829       |0.012261      |0.016585       |788              
65                 |0.007935       |0.012447      |0.016585       |788              
66                 |0.007935       |0.012663      |0.016585       |788              
67                 |0.008220       |0.012857      |0.016585       |788              
68                 |0.008220       |0.012948      |0.016585       |788              
69                 |0.008220       |0.013215      |0.017965       |776              
70                 |0.008355       |0.013321      |0.017965       |776              
71                 |0.008398       |0.013553      |0.017965       |776              
72                 |0.008398       |0.013749      |0.017965       |776              
73                 |0.008650       |0.013975      |0.018908       |751              
74                 |0.008650       |0.014335      |0.021397       |732              
75                 |0.008896       |0.014527      |0.021397       |732              
76                 |0.008896       |0.014812      |0.021397       |732              
77                 |0.009119       |0.015139      |0.021397       |732              
78                 |0.009119       |0.015414      |0.021397       |732              
79                 |0.009130       |0.015726      |0.021397       |732              
80                 |0.009130       |0.016049      |0.021397       |732              
81                 |0.009439       |0.016393      |0.021864       |718              
82                 |0.009439       |0.016669      |0.021864       |718              
83                 |0.013074       |0.016978      |0.021864       |718              
84                 |0.013074       |0.017213      |0.021864       |718              
85                 |0.013074       |0.017485      |0.021864       |718              
86                 |0.013487       |0.017795      |0.022641       |710              
87                 |0.013726       |0.018028      |0.022641       |710              
88                 |0.013726       |0.018333      |0.022641       |710              
89                 |0.013780       |0.018630      |0.022641       |710              
90                 |0.013884       |0.018952      |0.022641       |710              
91                 |0.013884       |0.019250      |0.022641       |710              
92                 |0.014053       |0.019453      |0.022641       |710              
93                 |0.014304       |0.019720      |0.022641       |710              
94                 |0.014304       |0.020048      |0.027568       |668              
95                 |0.015041       |0.020465      |0.027568       |668              
96                 |0.015041       |0.020736      |0.027568       |668              
97                 |0.015041       |0.020977      |0.027568       |668              
98                 |0.015177       |0.021401      |0.027568       |668              
99                 |0.015177       |0.021737      |0.027568       |668              
100                |0.015177       |0.022034      |0.027568       |668              
101                |0.016523       |0.022490      |0.027650       |671              
102                |0.016523       |0.022795      |0.027650       |671              
103                |0.016523       |0.023182      |0.027650       |671              
104                |0.019732       |0.023551      |0.027650       |671              
105                |0.019858       |0.023939      |0.027650       |671              
106                |0.019858       |0.024416      |0.029938       |640              
107                |0.019858       |0.024737      |0.029938       |640              
108                |0.021237       |0.025207      |0.030290       |656              
109                |0.021397       |0.025481      |0.030290       |656              
110                |0.021397       |0.025806      |0.030290       |656              
111                |0.021397       |0.026226      |0.030290       |656              
112                |0.021600       |0.026738      |0.035071       |614              
113                |0.021600       |0.027156      |0.035071       |614              
114                |0.021600       |0.027577      |0.035071       |614              
115                |0.021600       |0.027902      |0.035071       |614              
116                |0.021696       |0.028306      |0.035071       |614              
117                |0.021696       |0.028563      |0.035071       |614              
118                |0.021696       |0.028996      |0.035071       |614              
119                |0.021696       |0.029442      |0.035071       |614              
120                |0.021696       |0.030062      |0.037812       |588              
121                |0.026797       |0.030548      |0.037812       |588              
122                |0.026797       |0.031032      |0.037812       |588              
123                |0.026797       |0.031509      |0.037812       |588              
124                |0.026797       |0.032096      |0.041751       |565              
125                |0.026797       |0.032540      |0.041751       |565              
126                |0.027289       |0.032928      |0.041751       |565              
127                |0.027289       |0.033317      |0.041751       |565              
128                |0.027289       |0.033914      |0.041751       |565              
129                |0.027289       |0.034645      |0.044576       |537              
130                |0.027289       |0.035200      |0.044576       |537              
131                |0.027650       |0.035684      |0.044576       |537              
132                |0.027650       |0.036329      |0.044576       |537              
133                |0.027650       |0.036758      |0.044576       |537              
134                |0.027650       |0.037132      |0.044576       |537              
135                |0.027650       |0.037676      |0.044576       |537              
136                |0.027650       |0.038339      |0.044649       |545              
137                |0.027650       |0.038701      |0.044649       |545              
138                |0.033862       |0.039245      |0.044649       |545              
139                |0.033862       |0.039828      |0.045400       |543              
140                |0.033862       |0.040442      |0.045678       |531              
141                |0.033862       |0.041189      |0.048875       |526              
142                |0.033862       |0.041775      |0.048875       |526              
143                |0.033862       |0.042469      |0.049466       |513              
144                |0.036721       |0.043176      |0.049466       |513              
145                |0.036721       |0.044093      |0.052581       |501              
146                |0.036721       |0.044634      |0.052581       |501              
147                |0.036721       |0.045267      |0.052581       |501              
148                |0.036721       |0.046155      |0.054709       |492              
149                |0.036721       |0.046882      |0.055102       |485              
150                |0.036721       |0.047345      |0.055102       |485              
151                |0.043211       |0.047961      |0.055102       |485              
152                |0.043211       |0.049160      |0.059914       |459              
153                |0.043211       |0.049904      |0.059914       |459              
154                |0.043211       |0.050692      |0.059914       |459              
155                |0.044649       |0.051242      |0.059914       |459              
156                |0.044649       |0.051847      |0.059914       |459              
