Current Generation |Worst Fitness  |Mean Fitness  |Best Fitness   |Lowest Bin Count
1                  |0.345591       |0.346786      |0.405316       |460              
2                  |0.345591       |0.348454      |0.429017       |445              
3                  |0.345591       |0.349781      |0.429017       |445              
4                  |0.345591       |0.351059      |0.429017       |445              
5                  |0.345591       |0.352095      |0.429017       |445              
6                  |0.345591       |0.353535      |0.429017       |445              
7                  |0.345591       |0.355130      |0.429017       |445              
8                  |0.345591       |0.356535      |0.429017       |445              
9                  |0.345591       |0.357939      |0.429017       |445              
10                 |0.345591       |0.359563      |0.429017       |445              
11                 |0.345591       |0.360962      |0.429017       |445              
12                 |0.345591       |0.362439      |0.429017       |445              
13                 |0.345591       |0.363948      |0.429017       |445              
14                 |0.345591       |0.365261      |0.429017       |445              
15                 |0.345591       |0.366690      |0.429017       |445              
16                 |0.345591       |0.368100      |0.429017       |445              
17                 |0.345591       |0.370074      |0.444332       |438              
18                 |0.345591       |0.371450      |0.444332       |438              
19                 |0.345591       |0.372976      |0.444332       |438              
20                 |0.345591       |0.374622      |0.444332       |438              
21                 |0.345591       |0.376155      |0.444332       |438              
22                 |0.345591       |0.377704      |0.444332       |438              
23                 |0.345591       |0.379156      |0.444332       |438              
24                 |0.345591       |0.380385      |0.444332       |438              
25                 |0.345591       |0.381849      |0.444332       |438              
26                 |0.345591       |0.383422      |0.444332       |438              
27                 |0.345591       |0.384758      |0.444332       |438              
28                 |0.345591       |0.386447      |0.444332       |438              
29                 |0.345591       |0.389389      |0.488200       |415              
30                 |0.345591       |0.390864      |0.488200       |415              
31                 |0.345591       |0.392092      |0.488200       |415              
32                 |0.345591       |0.393562      |0.488200       |415              
33                 |0.345591       |0.395054      |0.488200       |415              
34                 |0.345591       |0.398003      |0.488200       |415              
35                 |0.345591       |0.399488      |0.488200       |415              
36                 |0.345591       |0.402461      |0.488490       |410              
37                 |0.345591       |0.405196      |0.488490       |410              
38                 |0.345591       |0.405769      |0.488490       |410              
39                 |0.345591       |0.406296      |0.488490       |410              
40                 |0.345591       |0.409059      |0.488490       |410              
41                 |0.345591       |0.409651      |0.488490       |410              
42                 |0.345591       |0.411310      |0.488490       |410              
43                 |0.345591       |0.412930      |0.488490       |410              
44                 |0.345591       |0.415940      |0.488555       |413              
45                 |0.345591       |0.418866      |0.489942       |411              
46                 |0.345591       |0.420655      |0.489942       |411              
47                 |0.345591       |0.423435      |0.489942       |411              
48                 |0.345591       |0.426056      |0.489942       |411              
49                 |0.345591       |0.428510      |0.489942       |411              
50                 |0.345591       |0.431670      |0.500411       |406              
51                 |0.345591       |0.434624      |0.500411       |406              
52                 |0.345591       |0.435319      |0.500411       |406              
53                 |0.345591       |0.438372      |0.500411       |406              
54                 |0.345591       |0.441760      |0.506137       |404              
55                 |0.345591       |0.445357      |0.519506       |399              
56                 |0.345591       |0.447892      |0.519506       |399              
57                 |0.345591       |0.448698      |0.519506       |399              
58                 |0.345591       |0.450843      |0.519506       |399              
59                 |0.345591       |0.451567      |0.519506       |399              
60                 |0.345591       |0.454609      |0.519506       |399              
61                 |0.345591       |0.457801      |0.519506       |399              
62                 |0.345591       |0.460831      |0.519506       |399              
63                 |0.345591       |0.463585      |0.519506       |399              
64                 |0.397384       |0.466422      |0.519506       |399              
65                 |0.397384       |0.470542      |0.561780       |379              
66                 |0.398341       |0.473054      |0.561780       |379              
67                 |0.404841       |0.476807      |0.561780       |379              
68                 |0.405316       |0.479061      |0.561780       |379              
69                 |0.405316       |0.483343      |0.575821       |373              
70                 |0.406992       |0.485177      |0.575821       |373              
71                 |0.407051       |0.489396      |0.575821       |373              
72                 |0.407051       |0.493661      |0.575821       |373              
73                 |0.415148       |0.496469      |0.575821       |373              
74                 |0.415148       |0.497239      |0.575821       |373              
75                 |0.416081       |0.498050      |0.575821       |373              
76                 |0.416081       |0.500638      |0.575821       |373              
77                 |0.421891       |0.503625      |0.575821       |373              
78                 |0.421891       |0.507757      |0.575821       |373              
79                 |0.427913       |0.509628      |0.575821       |373              
80                 |0.427913       |0.513365      |0.575821       |373              
81                 |0.430029       |0.517545      |0.576296       |371              
82                 |0.430029       |0.521543      |0.583870       |370              
83                 |0.435009       |0.525580      |0.583870       |370              
84                 |0.444332       |0.528661      |0.583870       |370              
85                 |0.481493       |0.532718      |0.584738       |371              
86                 |0.481493       |0.537324      |0.611459       |360              
87                 |0.485546       |0.539900      |0.611459       |360              
88                 |0.486064       |0.543940      |0.611459       |360              
89                 |0.486064       |0.548073      |0.611459       |360              
90                 |0.491247       |0.550876      |0.611459       |360              
91                 |0.492905       |0.553451      |0.611459       |360              
92                 |0.492905       |0.557104      |0.611459       |360              
93                 |0.493966       |0.559577      |0.611459       |360              
94                 |0.496209       |0.562644      |0.611459       |360              
95                 |0.500411       |0.566115      |0.611459       |360              
96                 |0.500411       |0.571105      |0.659713       |337              
97                 |0.506137       |0.574101      |0.659713       |337              
98                 |0.510957       |0.576995      |0.659713       |337              
99                 |0.510957       |0.582676      |0.667743       |341              
100                |0.513829       |0.588754      |0.673186       |336              
101                |0.513829       |0.595110      |0.690036       |331              
102                |0.513829       |0.600075      |0.690036       |331              
103                |0.519506       |0.604780      |0.690036       |331              
104                |0.519506       |0.609182      |0.690036       |331              
105                |0.519506       |0.612992      |0.690036       |331              
106                |0.540798       |0.618985      |0.696569       |332              
107                |0.540798       |0.623323      |0.696569       |332              
108                |0.540798       |0.626818      |0.696569       |332              
109                |0.556020       |0.631287      |0.696569       |332              
110                |0.556020       |0.637818      |0.708915       |326              
111                |0.556020       |0.644545      |0.740227       |318              
112                |0.556020       |0.650722      |0.740227       |318              
113                |0.563339       |0.658249      |0.740227       |318              
114                |0.563339       |0.663459      |0.740227       |318              
115                |0.563339       |0.668059      |0.740227       |318              
116                |0.563339       |0.671208      |0.740227       |318              
117                |0.587519       |0.673164      |0.740227       |318              
118                |0.587519       |0.678522      |0.746278       |314              
119                |0.587519       |0.682777      |0.746278       |314              
120                |0.587519       |0.690252      |0.771310       |306              
121                |0.602192       |0.698143      |0.771310       |306              
122                |0.602192       |0.703180      |0.771310       |306              
123                |0.602192       |0.709540      |0.776700       |305              
124                |0.658809       |0.716703      |0.776700       |305              
125                |0.658809       |0.721918      |0.776700       |305              
126                |0.658809       |0.727624      |0.776700       |305              
127                |0.658809       |0.735343      |0.810284       |294              
128                |0.659737       |0.740966      |0.810284       |294              
129                |0.661187       |0.747486      |0.810284       |294              
130                |0.667743       |0.751890      |0.810284       |294              
131                |0.667743       |0.759360      |0.837793       |288              
132                |0.667743       |0.770134      |0.883785       |278              
133                |0.667743       |0.776673      |0.883785       |278              
134                |0.667743       |0.782162      |0.883785       |278              
135                |0.708982       |0.792490      |0.908675       |271              
136                |0.746278       |0.799831      |0.908675       |271              
137                |0.746278       |0.808728      |0.908675       |271              
138                |0.746278       |0.817199      |0.908675       |271              
139                |0.746278       |0.824430      |0.908675       |271              
140                |0.746278       |0.827663      |0.908675       |271              
141                |0.764408       |0.834690      |0.908675       |271              
142                |0.764408       |0.842386      |0.937256       |264              
143                |0.764408       |0.850225      |0.937256       |264              
144                |0.769281       |0.856570      |0.937256       |264              
145                |0.769281       |0.863723      |0.937256       |264              
146                |0.769281       |0.869186      |0.937256       |264              
147                |0.806023       |0.872861      |0.937256       |264              
148                |0.806023       |0.877591      |0.944726       |263              
149                |0.810284       |0.883533      |0.944726       |263              
150                |0.810284       |0.890373      |0.944726       |263              
151                |0.810284       |0.896653      |0.944726       |263              
152                |0.810284       |0.901892      |0.944726       |263              
153                |0.819004       |0.902975      |0.944726       |263              
154                |0.819004       |0.907443      |0.944726       |263              
155                |0.819004       |0.911716      |0.944726       |263              
156                |0.819004       |0.914687      |0.944726       |263              
157                |0.819004       |0.917926      |0.944726       |263              
158                |0.863270       |0.924326      |0.944726       |263              
159                |0.864421       |0.928444      |0.944726       |263              
160                |0.865416       |0.931794      |0.944726       |263              
161                |0.893184       |0.936482      |0.944726       |263              
162                |0.893184       |0.937588      |0.944726       |263              
163                |0.893184       |0.937562      |0.944726       |263              
164                |0.893184       |0.937543      |0.944726       |263              
165                |0.893184       |0.937564      |0.944726       |263              
166                |0.893184       |0.938093      |0.944726       |263              
167                |0.893184       |0.938112      |0.944726       |263              
168                |0.893184       |0.938156      |0.944726       |263              
169                |0.931206       |0.939930      |0.944726       |263              
170                |0.935812       |0.940963      |0.944726       |263              
171                |0.935812       |0.941039      |0.944726       |263              
172                |0.930057       |0.940535      |0.944726       |263              
173                |0.930057       |0.940503      |0.944726       |263              
174                |0.930057       |0.940698      |0.944726       |263              
175                |0.930057       |0.940628      |0.944726       |263              
176                |0.929825       |0.940614      |0.944726       |263              
