Current Generation |Worst Fitness  |Mean Fitness  |Best Fitness   |Lowest Bin Count
1                  |0.345591       |0.347217      |0.426879       |446              
2                  |0.345591       |0.348550      |0.426879       |446              
3                  |0.345591       |0.350156      |0.426879       |446              
4                  |0.345591       |0.351478      |0.426879       |446              
5                  |0.345591       |0.352946      |0.426879       |446              
6                  |0.345591       |0.354770      |0.436818       |443              
7                  |0.345591       |0.355932      |0.436818       |443              
8                  |0.345591       |0.357335      |0.436818       |443              
9                  |0.345591       |0.358820      |0.436818       |443              
10                 |0.345591       |0.360428      |0.436818       |443              
11                 |0.345591       |0.362077      |0.436818       |443              
12                 |0.345591       |0.363452      |0.436818       |443              
13                 |0.345591       |0.365022      |0.436818       |443              
14                 |0.345591       |0.366208      |0.436818       |443              
15                 |0.345591       |0.367725      |0.436818       |443              
16                 |0.345591       |0.369186      |0.436818       |443              
17                 |0.345591       |0.370903      |0.436818       |443              
18                 |0.345591       |0.372350      |0.436818       |443              
19                 |0.345591       |0.373719      |0.436818       |443              
20                 |0.345591       |0.375211      |0.436818       |443              
21                 |0.345591       |0.376316      |0.436818       |443              
22                 |0.345591       |0.378316      |0.445632       |437              
23                 |0.345591       |0.380037      |0.445632       |437              
24                 |0.345591       |0.381730      |0.445632       |437              
25                 |0.345591       |0.383061      |0.445632       |437              
26                 |0.345591       |0.384087      |0.445632       |437              
27                 |0.345591       |0.387780      |0.517403       |399              
28                 |0.345591       |0.389559      |0.517403       |399              
29                 |0.345591       |0.391353      |0.517403       |399              
30                 |0.345591       |0.392639      |0.517403       |399              
31                 |0.345591       |0.394495      |0.517403       |399              
32                 |0.345591       |0.396246      |0.517403       |399              
33                 |0.345591       |0.399526      |0.517403       |399              
34                 |0.345591       |0.401164      |0.517403       |399              
35                 |0.345591       |0.402793      |0.517403       |399              
36                 |0.345591       |0.404149      |0.517403       |399              
37                 |0.345591       |0.405676      |0.517403       |399              
38                 |0.345591       |0.407477      |0.517403       |399              
39                 |0.345591       |0.408054      |0.517403       |399              
40                 |0.345591       |0.409348      |0.517403       |399              
41                 |0.345591       |0.410825      |0.517403       |399              
42                 |0.345591       |0.412319      |0.517403       |399              
43                 |0.345591       |0.412948      |0.517403       |399              
44                 |0.345591       |0.416012      |0.517403       |399              
45                 |0.345591       |0.418975      |0.517403       |399              
46                 |0.345591       |0.420593      |0.517403       |399              
47                 |0.345591       |0.422138      |0.517403       |399              
48                 |0.345591       |0.422886      |0.517403       |399              
49                 |0.345591       |0.426515      |0.517403       |399              
50                 |0.345591       |0.429421      |0.517403       |399              
51                 |0.345591       |0.433143      |0.524645       |399              
52                 |0.345591       |0.436970      |0.524677       |397              
53                 |0.345591       |0.440011      |0.524677       |397              
54                 |0.345591       |0.440759      |0.524677       |397              
55                 |0.345591       |0.443972      |0.524677       |397              
56                 |0.345591       |0.446354      |0.524677       |397              
57                 |0.345591       |0.448798      |0.524677       |397              
58                 |0.345591       |0.451873      |0.524677       |397              
59                 |0.400803       |0.455955      |0.526859       |393              
60                 |0.400803       |0.458914      |0.526859       |393              
61                 |0.403233       |0.461938      |0.526859       |393              
62                 |0.404893       |0.464366      |0.526859       |393              
63                 |0.404893       |0.466748      |0.526859       |393              
64                 |0.408472       |0.467355      |0.526859       |393              
65                 |0.412225       |0.469779      |0.526859       |393              
66                 |0.412225       |0.472706      |0.528031       |394              
67                 |0.414332       |0.475295      |0.528031       |394              
68                 |0.414332       |0.477590      |0.528031       |394              
69                 |0.418976       |0.480768      |0.528031       |394              
70                 |0.418976       |0.482650      |0.528031       |394              
71                 |0.420192       |0.485313      |0.528031       |394              
72                 |0.420192       |0.489055      |0.544529       |389              
73                 |0.420405       |0.491502      |0.544529       |389              
74                 |0.425971       |0.494215      |0.544529       |389              
75                 |0.425971       |0.496613      |0.544529       |389              
76                 |0.426879       |0.500552      |0.575880       |371              
77                 |0.427041       |0.503163      |0.575880       |371              
78                 |0.430206       |0.507203      |0.576005       |372              
79                 |0.430206       |0.509873      |0.576005       |372              
80                 |0.433113       |0.514009      |0.576005       |372              
81                 |0.433113       |0.517485      |0.576005       |372              
82                 |0.434506       |0.522097      |0.595572       |365              
83                 |0.434506       |0.526059      |0.595572       |365              
84                 |0.435668       |0.529510      |0.595572       |365              
85                 |0.435668       |0.533428      |0.595572       |365              
86                 |0.438410       |0.536908      |0.595572       |365              
87                 |0.438410       |0.541125      |0.603096       |362              
88                 |0.465641       |0.546189      |0.612669       |361              
89                 |0.489979       |0.550375      |0.612669       |361              
90                 |0.489979       |0.554228      |0.612669       |361              
91                 |0.489979       |0.557977      |0.612669       |361              
92                 |0.490466       |0.562159      |0.612669       |361              
93                 |0.490466       |0.566295      |0.643890       |345              
94                 |0.490466       |0.571380      |0.643890       |345              
95                 |0.491733       |0.575303      |0.643890       |345              
96                 |0.499314       |0.577710      |0.643890       |345              
97                 |0.499314       |0.582423      |0.650646       |348              
98                 |0.499314       |0.585986      |0.650646       |348              
99                 |0.516077       |0.591324      |0.653382       |344              
100                |0.516077       |0.595532      |0.653382       |344              
101                |0.516077       |0.599009      |0.653382       |344              
102                |0.525492       |0.604245      |0.687773       |334              
103                |0.525492       |0.609393      |0.687773       |334              
104                |0.525492       |0.611899      |0.687773       |334              
105                |0.525492       |0.618686      |0.726774       |322              
106                |0.571964       |0.623497      |0.726774       |322              
107                |0.575227       |0.626765      |0.726774       |322              
108                |0.575227       |0.632304      |0.726774       |322              
109                |0.575227       |0.638177      |0.726774       |322              
110                |0.575356       |0.642985      |0.726774       |322              
111                |0.575356       |0.647377      |0.726774       |322              
112                |0.575356       |0.651285      |0.726774       |322              
113                |0.575356       |0.656283      |0.726774       |322              
114                |0.575880       |0.657057      |0.726774       |322              
115                |0.604940       |0.662681      |0.726774       |322              
116                |0.604940       |0.670112      |0.784979       |302              
117                |0.604940       |0.674672      |0.784979       |302              
118                |0.609420       |0.679985      |0.784979       |302              
119                |0.609420       |0.688001      |0.784979       |302              
120                |0.609420       |0.694011      |0.784979       |302              
121                |0.609420       |0.700486      |0.784979       |302              
122                |0.610381       |0.706420      |0.784979       |302              
123                |0.643890       |0.709375      |0.784979       |302              
124                |0.643890       |0.714597      |0.784979       |302              
125                |0.643890       |0.719225      |0.784979       |302              
126                |0.652768       |0.725714      |0.788515       |300              
127                |0.686628       |0.730372      |0.788515       |300              
128                |0.686628       |0.736134      |0.788515       |300              
129                |0.686628       |0.743760      |0.814443       |294              
130                |0.693051       |0.747395      |0.814443       |294              
131                |0.693051       |0.756021      |0.840564       |290              
132                |0.693051       |0.763987      |0.885648       |276              
133                |0.693051       |0.771263      |0.885648       |276              
134                |0.694170       |0.778204      |0.885648       |276              
135                |0.694170       |0.783007      |0.885648       |276              
136                |0.694170       |0.789758      |0.885648       |276              
137                |0.694170       |0.798367      |0.907024       |271              
138                |0.694170       |0.803383      |0.907024       |271              
139                |0.694170       |0.811798      |0.907024       |271              
140                |0.708886       |0.822675      |0.926228       |267              
141                |0.708886       |0.827725      |0.926228       |267              
142                |0.731828       |0.830782      |0.926228       |267              
143                |0.731828       |0.834854      |0.926228       |267              
144                |0.731828       |0.842728      |0.926228       |267              
145                |0.731828       |0.851486      |0.926228       |267              
146                |0.731828       |0.858786      |0.926228       |267              
147                |0.731828       |0.863630      |0.926228       |267              
148                |0.801712       |0.867518      |0.938402       |264              
149                |0.801712       |0.873194      |0.938402       |264              
150                |0.801712       |0.878696      |0.943951       |263              
151                |0.801712       |0.884966      |0.943951       |263              
152                |0.801712       |0.891426      |0.943951       |263              
153                |0.815970       |0.899628      |0.943951       |263              
154                |0.815970       |0.905198      |0.943951       |263              
155                |0.815970       |0.908177      |0.943951       |263              
156                |0.845417       |0.913015      |0.944272       |263              
157                |0.845417       |0.917983      |0.944272       |263              
158                |0.845417       |0.919409      |0.944272       |263              
159                |0.845417       |0.924236      |0.944272       |263              
160                |0.845417       |0.927971      |0.944272       |263              
161                |0.905532       |0.932549      |0.944272       |263              
162                |0.924403       |0.935305      |0.944272       |263              
163                |0.924551       |0.935317      |0.944272       |263              
164                |0.924551       |0.935293      |0.944272       |263              
165                |0.926021       |0.935699      |0.944272       |263              
166                |0.926021       |0.935798      |0.944272       |263              
167                |0.926021       |0.935857      |0.944272       |263              
168                |0.926228       |0.937309      |0.944272       |263              
169                |0.926228       |0.937310      |0.944272       |263              
170                |0.927026       |0.938575      |0.944406       |263              
171                |0.927026       |0.939002      |0.944406       |263              
172                |0.927026       |0.938976      |0.944406       |263              
173                |0.927026       |0.938932      |0.944406       |263              
174                |0.927026       |0.939379      |0.944406       |263              
175                |0.927026       |0.938908      |0.944406       |263              
176                |0.927026       |0.939068      |0.944406       |263              
177                |0.927026       |0.939546      |0.944406       |263              
178                |0.927026       |0.940707      |0.944406       |263              
179                |0.927026       |0.940721      |0.944406       |263              
180                |0.927026       |0.940727      |0.944406       |263              
181                |0.927026       |0.940726      |0.944406       |263              
182                |0.927026       |0.941376      |0.944406       |263              
183                |0.927026       |0.941396      |0.944406       |263              
184                |0.927026       |0.941362      |0.944406       |263              
185                |0.927026       |0.941383      |0.944406       |263              
186                |0.927026       |0.941373      |0.944406       |263              
187                |0.927026       |0.941414      |0.944406       |263              
188                |0.927026       |0.941599      |0.944406       |263              
189                |0.927026       |0.941596      |0.944406       |263              
190                |0.927026       |0.941561      |0.944406       |263              
191                |0.927026       |0.941543      |0.944406       |263              
192                |0.927026       |0.941516      |0.944406       |263              
193                |0.927026       |0.941529      |0.944406       |263              
194                |0.927026       |0.941542      |0.944406       |263              
195                |0.927026       |0.941576      |0.944406       |263              
196                |0.927026       |0.941561      |0.944406       |263              
197                |0.927026       |0.941039      |0.944406       |263              
198                |0.927026       |0.940975      |0.944406       |263              
199                |0.927026       |0.940982      |0.944406       |263              
200                |0.927026       |0.940981      |0.944406       |263              
201                |0.927026       |0.941021      |0.944406       |263              
202                |0.927026       |0.940885      |0.944406       |263              
203                |0.927026       |0.940883      |0.944406       |263              
204                |0.927026       |0.940966      |0.944406       |263              
205                |0.927026       |0.941004      |0.944406       |263              
206                |0.927026       |0.940992      |0.944406       |263              
207                |0.935798       |0.941741      |0.944406       |263              
208                |0.935798       |0.941795      |0.944406       |263              
209                |0.936251       |0.941831      |0.944406       |263              
210                |0.936251       |0.941795      |0.944406       |263              
211                |0.936251       |0.941940      |0.944406       |263              
212                |0.936251       |0.941841      |0.944406       |263              
213                |0.936336       |0.941847      |0.944406       |263              
