Current Generation |Worst Fitness  |Mean Fitness  |Best Fitness   |Lowest Bin Count
1                  |0.345591       |0.347339      |0.432964       |443              
2                  |0.345591       |0.348657      |0.432964       |443              
3                  |0.345591       |0.349935      |0.432964       |443              
4                  |0.345591       |0.351550      |0.432964       |443              
5                  |0.345591       |0.353426      |0.439390       |438              
6                  |0.345591       |0.354659      |0.439390       |438              
7                  |0.345591       |0.356411      |0.439390       |438              
8                  |0.345591       |0.357870      |0.439390       |438              
9                  |0.345591       |0.359292      |0.439390       |438              
10                 |0.345591       |0.360478      |0.439390       |438              
11                 |0.345591       |0.361557      |0.439390       |438              
12                 |0.345591       |0.363227      |0.439390       |438              
13                 |0.345591       |0.364606      |0.439390       |438              
14                 |0.345591       |0.366264      |0.439390       |438              
15                 |0.345591       |0.367736      |0.439390       |438              
16                 |0.345591       |0.369669      |0.442258       |439              
17                 |0.345591       |0.371313      |0.442258       |439              
18                 |0.345591       |0.373097      |0.442258       |439              
19                 |0.345591       |0.374809      |0.442258       |439              
20                 |0.345591       |0.376444      |0.442258       |439              
21                 |0.345591       |0.378058      |0.442258       |439              
22                 |0.345591       |0.379962      |0.442258       |439              
23                 |0.345591       |0.381671      |0.442258       |439              
24                 |0.345591       |0.382761      |0.442258       |439              
25                 |0.345591       |0.384101      |0.442258       |439              
26                 |0.345591       |0.385364      |0.442258       |439              
27                 |0.345591       |0.386998      |0.442258       |439              
28                 |0.345591       |0.388196      |0.442258       |439              
29                 |0.345591       |0.391195      |0.490211       |411              
30                 |0.345591       |0.392612      |0.490211       |411              
31                 |0.345591       |0.393847      |0.490211       |411              
32                 |0.345591       |0.396663      |0.490211       |411              
33                 |0.345591       |0.397965      |0.490211       |411              
34                 |0.345591       |0.399570      |0.490211       |411              
35                 |0.345591       |0.401118      |0.490211       |411              
36                 |0.345591       |0.402448      |0.490211       |411              
37                 |0.345591       |0.406078      |0.520380       |400              
38                 |0.345591       |0.407424      |0.520380       |400              
39                 |0.345591       |0.408735      |0.520380       |400              
40                 |0.345591       |0.411810      |0.520380       |400              
41                 |0.345591       |0.413416      |0.520380       |400              
42                 |0.345591       |0.415123      |0.520380       |400              
43                 |0.345591       |0.416608      |0.520380       |400              
44                 |0.345591       |0.417199      |0.520380       |400              
45                 |0.345591       |0.419621      |0.520380       |400              
46                 |0.345591       |0.422631      |0.520380       |400              
47                 |0.345591       |0.423359      |0.520380       |400              
48                 |0.345591       |0.426268      |0.520380       |400              
49                 |0.345591       |0.429411      |0.520380       |400              
50                 |0.345591       |0.432785      |0.520380       |400              
51                 |0.345591       |0.435644      |0.520380       |400              
52                 |0.345591       |0.439055      |0.520380       |400              
53                 |0.345591       |0.442799      |0.520380       |400              
54                 |0.345591       |0.445997      |0.520380       |400              
55                 |0.345591       |0.449767      |0.520380       |400              
56                 |0.345591       |0.452915      |0.520380       |400              
57                 |0.345591       |0.456185      |0.520380       |400              
