Current Generation |Worst Fitness  |Mean Fitness  |Best Fitness   |Lowest Bin Count
1                  |0.345591       |0.347263      |0.429170       |447              
2                  |0.345591       |0.348490      |0.429170       |447              
3                  |0.345591       |0.350111      |0.429170       |447              
4                  |0.345591       |0.351700      |0.429170       |447              
5                  |0.345591       |0.353153      |0.429170       |447              
6                  |0.345591       |0.354666      |0.429170       |447              
7                  |0.345591       |0.356527      |0.438657       |439              
8                  |0.345591       |0.358465      |0.442479       |440              
9                  |0.345591       |0.359435      |0.442479       |440              
10                 |0.345591       |0.360567      |0.442479       |440              
11                 |0.345591       |0.362013      |0.442479       |440              
12                 |0.345591       |0.363271      |0.442479       |440              
13                 |0.345591       |0.365025      |0.442479       |440              
14                 |0.345591       |0.366583      |0.442479       |440              
15                 |0.345591       |0.367857      |0.442479       |440              
16                 |0.345591       |0.369270      |0.442479       |440              
17                 |0.345591       |0.370773      |0.442479       |440              
18                 |0.345591       |0.372178      |0.442479       |440              
19                 |0.345591       |0.373786      |0.442479       |440              
20                 |0.345591       |0.375279      |0.442479       |440              
21                 |0.345591       |0.376743      |0.442479       |440              
22                 |0.345591       |0.378127      |0.442479       |440              
23                 |0.345591       |0.379309      |0.442479       |440              
24                 |0.345591       |0.380309      |0.442479       |440              
25                 |0.345591       |0.381584      |0.442479       |440              
26                 |0.345591       |0.383175      |0.442479       |440              
27                 |0.345591       |0.384653      |0.442479       |440              
28                 |0.345591       |0.386574      |0.442479       |440              
29                 |0.345591       |0.388443      |0.442479       |440              
30                 |0.345591       |0.389993      |0.442479       |440              
31                 |0.345591       |0.391450      |0.442479       |440              
32                 |0.345591       |0.394953      |0.510580       |402              
33                 |0.345591       |0.397534      |0.510580       |402              
34                 |0.345591       |0.400584      |0.510580       |402              
35                 |0.345591       |0.402124      |0.510580       |402              
36                 |0.345591       |0.403345      |0.510580       |402              
37                 |0.345591       |0.405193      |0.510580       |402              
38                 |0.345591       |0.407185      |0.510580       |402              
39                 |0.345591       |0.408837      |0.510580       |402              
40                 |0.345591       |0.410352      |0.510580       |402              
41                 |0.345591       |0.412902      |0.510580       |402              
42                 |0.345591       |0.415618      |0.510580       |402              
43                 |0.345591       |0.416303      |0.510580       |402              
44                 |0.345591       |0.416990      |0.510580       |402              
45                 |0.345591       |0.418506      |0.510580       |402              
46                 |0.345591       |0.419230      |0.510580       |402              
47                 |0.345591       |0.419903      |0.510580       |402              
