Current Generation |Worst Fitness  |Mean Fitness  |Best Fitness   |Lowest Bin Count
1                  |0.345591       |0.347042      |0.418145       |451              
2                  |0.345591       |0.348217      |0.418145       |451              
3                  |0.345591       |0.349710      |0.420280       |451              
4                  |0.345591       |0.351635      |0.441826       |440              
5                  |0.345591       |0.353004      |0.441826       |440              
6                  |0.345591       |0.354529      |0.441826       |440              
7                  |0.345591       |0.356053      |0.441826       |440              
8                  |0.345591       |0.357788      |0.441826       |440              
9                  |0.345591       |0.359057      |0.441826       |440              
10                 |0.345591       |0.360827      |0.441826       |440              
11                 |0.345591       |0.362412      |0.441826       |440              
12                 |0.345591       |0.364167      |0.441826       |440              
13                 |0.345591       |0.365668      |0.441826       |440              
14                 |0.345591       |0.367122      |0.441826       |440              
15                 |0.345591       |0.368410      |0.441826       |440              
16                 |0.345591       |0.369723      |0.441826       |440              
17                 |0.345591       |0.371245      |0.441826       |440              
18                 |0.345591       |0.372816      |0.441826       |440              
19                 |0.345591       |0.374161      |0.441826       |440              
20                 |0.345591       |0.375465      |0.441826       |440              
21                 |0.345591       |0.377008      |0.441826       |440              
22                 |0.345591       |0.378456      |0.441826       |440              
23                 |0.345591       |0.379687      |0.441826       |440              
24                 |0.345591       |0.381242      |0.441826       |440              
25                 |0.345591       |0.382743      |0.441826       |440              
26                 |0.345591       |0.384360      |0.441826       |440              
27                 |0.345591       |0.386337      |0.444441       |438              
28                 |0.345591       |0.387844      |0.444441       |438              
29                 |0.345591       |0.389303      |0.444441       |438              
30                 |0.345591       |0.390861      |0.444441       |438              
31                 |0.345591       |0.392059      |0.444441       |438              
32                 |0.345591       |0.393221      |0.444441       |438              
33                 |0.345591       |0.394465      |0.444441       |438              
34                 |0.345591       |0.395778      |0.444441       |438              
35                 |0.345591       |0.397383      |0.444441       |438              
36                 |0.345591       |0.400465      |0.490617       |412              
37                 |0.345591       |0.401851      |0.490617       |412              
38                 |0.345591       |0.405919      |0.524663       |396              
39                 |0.345591       |0.407361      |0.524663       |396              
40                 |0.345591       |0.408909      |0.524663       |396              
41                 |0.345591       |0.410417      |0.524663       |396              
42                 |0.345591       |0.412120      |0.524663       |396              
43                 |0.345591       |0.415422      |0.524663       |396              
44                 |0.345591       |0.418495      |0.524663       |396              
45                 |0.345591       |0.420314      |0.524663       |396              
46                 |0.345591       |0.423537      |0.524663       |396              
47                 |0.345591       |0.424165      |0.524663       |396              
48                 |0.345591       |0.427478      |0.524663       |396              
49                 |0.345591       |0.430506      |0.524663       |396              
50                 |0.345591       |0.433440      |0.524663       |396              
51                 |0.345591       |0.436142      |0.524663       |396              
52                 |0.345591       |0.439150      |0.524663       |396              
53                 |0.345591       |0.441177      |0.524663       |396              
54                 |0.345591       |0.444171      |0.524663       |396              
55                 |0.345591       |0.447553      |0.524663       |396              
56                 |0.345591       |0.448183      |0.524663       |396              
57                 |0.345591       |0.451589      |0.524663       |396              
58                 |0.345591       |0.454851      |0.524663       |396              
59                 |0.403158       |0.455426      |0.524663       |396              
60                 |0.403705       |0.457856      |0.524663       |396              
61                 |0.403705       |0.460364      |0.524663       |396              
62                 |0.405479       |0.462838      |0.524663       |396              
63                 |0.405479       |0.465940      |0.524663       |396              
64                 |0.407176       |0.470790      |0.587502       |371              
65                 |0.407176       |0.473382      |0.587502       |371              
66                 |0.408615       |0.476038      |0.587502       |371              
67                 |0.409973       |0.477518      |0.587502       |371              
68                 |0.417996       |0.479595      |0.587502       |371              
69                 |0.417996       |0.482179      |0.587502       |371              
70                 |0.418514       |0.485251      |0.587502       |371              
71                 |0.418514       |0.489940      |0.611239       |359              
72                 |0.420634       |0.492318      |0.611239       |359              
73                 |0.421702       |0.494726      |0.611239       |359              
74                 |0.422744       |0.497395      |0.611239       |359              
75                 |0.422744       |0.498462      |0.611239       |359              
76                 |0.422744       |0.501010      |0.611239       |359              
77                 |0.425846       |0.504473      |0.611239       |359              
78                 |0.425846       |0.509222      |0.611239       |359              
79                 |0.430717       |0.514052      |0.611239       |359              
80                 |0.430717       |0.518276      |0.611239       |359              
81                 |0.433335       |0.523398      |0.611239       |359              
82                 |0.433335       |0.527606      |0.611239       |359              
83                 |0.441826       |0.530734      |0.611239       |359              
84                 |0.441826       |0.533921      |0.611239       |359              
85                 |0.480038       |0.537797      |0.611239       |359              
86                 |0.480038       |0.541676      |0.611239       |359              
87                 |0.480038       |0.546037      |0.611239       |359              
88                 |0.483263       |0.549730      |0.611239       |359              
89                 |0.491738       |0.552096      |0.611239       |359              
90                 |0.491738       |0.555767      |0.611239       |359              
91                 |0.491776       |0.559181      |0.611239       |359              
92                 |0.491776       |0.562559      |0.611239       |359              
93                 |0.491776       |0.568976      |0.695217       |333              
94                 |0.499975       |0.572924      |0.695217       |333              
95                 |0.499975       |0.577091      |0.695217       |333              
96                 |0.499975       |0.578905      |0.695217       |333              
97                 |0.499975       |0.583357      |0.695217       |333              
98                 |0.499975       |0.585280      |0.695217       |333              
99                 |0.499975       |0.587648      |0.695217       |333              
100                |0.500864       |0.593299      |0.695217       |333              
101                |0.500864       |0.597690      |0.695217       |333              
102                |0.500864       |0.602655      |0.695217       |333              
103                |0.508579       |0.607647      |0.695217       |333              
104                |0.508579       |0.614581      |0.714664       |323              
105                |0.508579       |0.619125      |0.714664       |323              
106                |0.510949       |0.623968      |0.714664       |323              
107                |0.510949       |0.628177      |0.714664       |323              
108                |0.510949       |0.636277      |0.742731       |317              
109                |0.572370       |0.641977      |0.742731       |317              
110                |0.572370       |0.647140      |0.742731       |317              
111                |0.572370       |0.651659      |0.742731       |317              
112                |0.579303       |0.657908      |0.742731       |317              
113                |0.579310       |0.662613      |0.742731       |317              
114                |0.579310       |0.669934      |0.773090       |305              
115                |0.587502       |0.674564      |0.773090       |305              
116                |0.587502       |0.677107      |0.773090       |305              
