Current Generation |Worst Fitness  |Mean Fitness  |Best Fitness   |Lowest Bin Count
1                  |0.345591       |0.347145      |0.423290       |450              
2                  |0.345591       |0.348734      |0.425042       |448              
3                  |0.345591       |0.350320      |0.425042       |448              
4                  |0.345591       |0.351564      |0.425042       |448              
5                  |0.345591       |0.353117      |0.425042       |448              
6                  |0.345591       |0.354520      |0.425042       |448              
7                  |0.345591       |0.355925      |0.425042       |448              
8                  |0.345591       |0.357339      |0.425042       |448              
9                  |0.345591       |0.358899      |0.425042       |448              
10                 |0.345591       |0.360158      |0.425042       |448              
11                 |0.345591       |0.361371      |0.425042       |448              
12                 |0.345591       |0.362792      |0.425042       |448              
13                 |0.345591       |0.364468      |0.429425       |444              
14                 |0.345591       |0.365957      |0.429425       |444              
15                 |0.345591       |0.367579      |0.429425       |444              
16                 |0.345591       |0.368880      |0.429425       |444              
17                 |0.345591       |0.370288      |0.429425       |444              
18                 |0.345591       |0.371569      |0.429425       |444              
19                 |0.345591       |0.372623      |0.429425       |444              
20                 |0.345591       |0.374035      |0.429425       |444              
21                 |0.345591       |0.375491      |0.429425       |444              
22                 |0.345591       |0.376810      |0.429425       |444              
23                 |0.345591       |0.378805      |0.445297       |435              
24                 |0.345591       |0.380356      |0.445297       |435              
25                 |0.345591       |0.381732      |0.445297       |435              
26                 |0.345591       |0.382940      |0.445297       |435              
27                 |0.345591       |0.385453      |0.469792       |423              
28                 |0.345591       |0.387476      |0.469792       |423              
29                 |0.345591       |0.388399      |0.469792       |423              
30                 |0.345591       |0.390006      |0.469792       |423              
31                 |0.345591       |0.391487      |0.469792       |423              
32                 |0.345591       |0.393194      |0.469792       |423              
33                 |0.345591       |0.394536      |0.469792       |423              
34                 |0.345591       |0.396162      |0.469792       |423              
35                 |0.345591       |0.397654      |0.469792       |423              
36                 |0.345591       |0.401121      |0.496313       |408              
37                 |0.345591       |0.402920      |0.496313       |408              
38                 |0.345591       |0.404352      |0.496313       |408              
39                 |0.345591       |0.405734      |0.496313       |408              
40                 |0.345591       |0.407530      |0.496313       |408              
41                 |0.345591       |0.408942      |0.496313       |408              
42                 |0.345591       |0.410362      |0.496313       |408              
43                 |0.345591       |0.412982      |0.496313       |408              
44                 |0.345591       |0.416280      |0.496313       |408              
45                 |0.345591       |0.418164      |0.496313       |408              
46                 |0.345591       |0.420152      |0.496313       |408              
47                 |0.345591       |0.420727      |0.496313       |408              
48                 |0.345591       |0.423444      |0.496313       |408              
49                 |0.345591       |0.426884      |0.507591       |404              
50                 |0.345591       |0.430415      |0.507591       |404              
51                 |0.345591       |0.431211      |0.507591       |404              
52                 |0.345591       |0.434353      |0.507591       |404              
53                 |0.345591       |0.437338      |0.507591       |404              
54                 |0.345591       |0.438053      |0.507591       |404              
55                 |0.345591       |0.440825      |0.507591       |404              
56                 |0.345591       |0.441657      |0.507591       |404              
57                 |0.345591       |0.444310      |0.507591       |404              
58                 |0.403079       |0.447362      |0.507591       |404              
59                 |0.406010       |0.450256      |0.514109       |399              
60                 |0.406010       |0.452765      |0.514109       |399              
61                 |0.408531       |0.455384      |0.514109       |399              
62                 |0.408531       |0.458376      |0.526274       |396              
63                 |0.415848       |0.461166      |0.526274       |396              
64                 |0.415848       |0.463848      |0.526274       |396              
65                 |0.416164       |0.465296      |0.526274       |396              
66                 |0.416164       |0.467788      |0.526274       |396              
67                 |0.416259       |0.470744      |0.563205       |377              
68                 |0.416259       |0.473799      |0.563205       |377              
69                 |0.416643       |0.476119      |0.563205       |377              
70                 |0.416643       |0.480631      |0.578975       |369              
71                 |0.416643       |0.481776      |0.578975       |369              
72                 |0.417196       |0.484136      |0.578975       |369              
73                 |0.417196       |0.487021      |0.578975       |369              
74                 |0.420224       |0.491429      |0.578975       |369              
75                 |0.423290       |0.494100      |0.578975       |369              
76                 |0.425042       |0.497116      |0.578975       |369              
77                 |0.425042       |0.500244      |0.578975       |369              
78                 |0.425180       |0.504018      |0.578975       |369              
79                 |0.426709       |0.508036      |0.579000       |370              
80                 |0.426709       |0.510572      |0.579000       |370              
81                 |0.428838       |0.514370      |0.579000       |370              
82                 |0.428838       |0.515423      |0.579000       |370              
83                 |0.430943       |0.519120      |0.579000       |370              
84                 |0.430943       |0.524029      |0.605518       |363              
85                 |0.445001       |0.524800      |0.605518       |363              
86                 |0.445001       |0.528836      |0.605518       |363              
87                 |0.445297       |0.532146      |0.605518       |363              
88                 |0.445297       |0.536824      |0.605518       |363              
89                 |0.446743       |0.542017      |0.631116       |351              
90                 |0.446743       |0.545250      |0.631116       |351              
91                 |0.482079       |0.549393      |0.631116       |351              
92                 |0.482079       |0.553142      |0.631116       |351              
93                 |0.491782       |0.556733      |0.631116       |351              
94                 |0.491782       |0.560832      |0.631116       |351              
95                 |0.491782       |0.565070      |0.631116       |351              
96                 |0.500721       |0.569085      |0.631116       |351              
97                 |0.500721       |0.574331      |0.652132       |344              
98                 |0.500721       |0.577361      |0.652132       |344              
99                 |0.508044       |0.580526      |0.652132       |344              
100                |0.510272       |0.585836      |0.682166       |333              
101                |0.510272       |0.591621      |0.682166       |333              
102                |0.510272       |0.597150      |0.682166       |333              
103                |0.510437       |0.602768      |0.683488       |335              
104                |0.510437       |0.606758      |0.683488       |335              
105                |0.510437       |0.612341      |0.686358       |333              
106                |0.514109       |0.616909      |0.686358       |333              
