Current Generation |Worst Fitness  |Mean Fitness  |Best Fitness   |Lowest Bin Count
1                  |0.002943       |0.003056      |0.008617       |892              
2                  |0.002943       |0.003163      |0.008617       |892              
3                  |0.002943       |0.003256      |0.008617       |892              
4                  |0.002943       |0.003366      |0.008617       |892              
5                  |0.002943       |0.003476      |0.008617       |892              
6                  |0.002943       |0.003563      |0.008617       |892              
7                  |0.002943       |0.003680      |0.008792       |893              
8                  |0.002943       |0.003790      |0.008792       |893              
9                  |0.002943       |0.003906      |0.008792       |893              
10                 |0.002943       |0.004004      |0.008792       |893              
11                 |0.002943       |0.004121      |0.008810       |892              
12                 |0.002943       |0.004233      |0.008810       |892              
13                 |0.002943       |0.004351      |0.008873       |888              
14                 |0.002943       |0.004451      |0.008873       |888              
15                 |0.002943       |0.004562      |0.008873       |888              
16                 |0.002943       |0.004658      |0.008873       |888              
17                 |0.002943       |0.004763      |0.008873       |888              
18                 |0.002943       |0.004877      |0.008873       |888              
19                 |0.002943       |0.004982      |0.008873       |888              
20                 |0.002943       |0.005094      |0.008873       |888              
21                 |0.002943       |0.005189      |0.008873       |888              
22                 |0.002943       |0.005290      |0.008873       |888              
23                 |0.002943       |0.005384      |0.008873       |888              
24                 |0.002943       |0.005500      |0.008873       |888              
25                 |0.002943       |0.005612      |0.008873       |888              
26                 |0.002943       |0.005709      |0.008873       |888              
27                 |0.002943       |0.005817      |0.008873       |888              
28                 |0.002943       |0.005909      |0.008873       |888              
29                 |0.002943       |0.006037      |0.009334       |891              
30                 |0.002943       |0.006153      |0.009334       |891              
31                 |0.002943       |0.006258      |0.009334       |891              
32                 |0.002943       |0.006502      |0.014141       |813              
33                 |0.002943       |0.006625      |0.014141       |813              
34                 |0.002943       |0.006729      |0.014141       |813              
35                 |0.002943       |0.006836      |0.014141       |813              
36                 |0.002943       |0.006949      |0.014141       |813              
37                 |0.002943       |0.007035      |0.014141       |813              
38                 |0.002943       |0.007223      |0.014141       |813              
39                 |0.002943       |0.007324      |0.014141       |813              
40                 |0.002943       |0.007436      |0.014141       |813              
41                 |0.002943       |0.007566      |0.014141       |813              
42                 |0.002943       |0.007798      |0.014141       |813              
43                 |0.002943       |0.008051      |0.014284       |801              
44                 |0.002943       |0.008173      |0.014284       |801              
45                 |0.002943       |0.008361      |0.014284       |801              
46                 |0.002943       |0.008614      |0.014613       |809              
47                 |0.002943       |0.008662      |0.014613       |809              
48                 |0.002943       |0.008928      |0.015120       |808              
49                 |0.002943       |0.008969      |0.015120       |808              
50                 |0.002943       |0.009027      |0.015120       |808              
51                 |0.002943       |0.009084      |0.015120       |808              
52                 |0.002943       |0.009143      |0.015120       |808              
53                 |0.002943       |0.009188      |0.015120       |808              
54                 |0.002943       |0.009382      |0.015120       |808              
55                 |0.002943       |0.009634      |0.015120       |808              
56                 |0.002943       |0.009900      |0.015531       |789              
57                 |0.002943       |0.010081      |0.015531       |789              
58                 |0.002943       |0.010324      |0.015531       |789              
59                 |0.002943       |0.010378      |0.015531       |789              
60                 |0.007593       |0.010550      |0.015531       |789              
61                 |0.007593       |0.010767      |0.015531       |789              
62                 |0.007654       |0.010997      |0.015916       |796              
63                 |0.007999       |0.011180      |0.015916       |796              
64                 |0.007999       |0.011354      |0.015916       |796              
65                 |0.008159       |0.011560      |0.015916       |796              
66                 |0.008159       |0.011738      |0.015916       |796              
67                 |0.008202       |0.011943      |0.015916       |796              
68                 |0.008202       |0.012093      |0.015916       |796              
69                 |0.008205       |0.012273      |0.015916       |796              
70                 |0.008205       |0.012444      |0.015916       |796              
71                 |0.008301       |0.012663      |0.015916       |796              
72                 |0.008301       |0.012838      |0.015916       |796              
73                 |0.008315       |0.013027      |0.015916       |796              
74                 |0.008461       |0.013166      |0.015916       |796              
75                 |0.008461       |0.013302      |0.015916       |796              
76                 |0.008585       |0.013564      |0.020788       |725              
77                 |0.008585       |0.013805      |0.020788       |725              
78                 |0.008612       |0.014012      |0.020788       |725              
79                 |0.008612       |0.014328      |0.021415       |722              
80                 |0.008743       |0.014446      |0.021415       |722              
81                 |0.008750       |0.014618      |0.021415       |722              
82                 |0.008750       |0.014926      |0.021415       |722              
83                 |0.008781       |0.015054      |0.021415       |722              
84                 |0.008792       |0.015347      |0.021415       |722              
85                 |0.008810       |0.015470      |0.021415       |722              
86                 |0.008810       |0.015806      |0.022367       |718              
87                 |0.009446       |0.016169      |0.022911       |708              
88                 |0.009446       |0.016479      |0.022911       |708              
89                 |0.012265       |0.016827      |0.022911       |708              
90                 |0.012265       |0.017142      |0.022911       |708              
91                 |0.012265       |0.017431      |0.022911       |708              
92                 |0.012367       |0.017718      |0.022911       |708              
93                 |0.012367       |0.017964      |0.022911       |708              
94                 |0.012367       |0.018193      |0.022911       |708              
95                 |0.014025       |0.018494      |0.024716       |696              
96                 |0.014025       |0.018695      |0.024716       |696              
97                 |0.014025       |0.018918      |0.024716       |696              
98                 |0.014065       |0.019340      |0.028259       |661              
99                 |0.014065       |0.019643      |0.028259       |661              
100                |0.014065       |0.020070      |0.028484       |658              
101                |0.014347       |0.020654      |0.032386       |630              
102                |0.014347       |0.021084      |0.032386       |630              
103                |0.014347       |0.021271      |0.032386       |630              
104                |0.014347       |0.021558      |0.032386       |630              
105                |0.014643       |0.021778      |0.032386       |630              
106                |0.014643       |0.022200      |0.032386       |630              
107                |0.014643       |0.022487      |0.032386       |630              
108                |0.014643       |0.022600      |0.032386       |630              
109                |0.014719       |0.022944      |0.032386       |630              
110                |0.014719       |0.023291      |0.032386       |630              
111                |0.014719       |0.023704      |0.032386       |630              
112                |0.014719       |0.023893      |0.032386       |630              
113                |0.014978       |0.024336      |0.032386       |630              
114                |0.014978       |0.024811      |0.032386       |630              
115                |0.015789       |0.025068      |0.032386       |630              
116                |0.015789       |0.025448      |0.032386       |630              
117                |0.015789       |0.026170      |0.036761       |589              
118                |0.019895       |0.026726      |0.036761       |589              
119                |0.019895       |0.026835      |0.036761       |589              
120                |0.019895       |0.027207      |0.036761       |589              
121                |0.019895       |0.027589      |0.036761       |589              
122                |0.020242       |0.027705      |0.036761       |589              
123                |0.020242       |0.028153      |0.036822       |590              
